,Unnamed: 0,act_number,tree_adress,Latitude,Longitude,tree_cut_requester,tree_characteristics,number,date,cutting_act,was_cut,date_number,date_UTF,tree_adress_shorten
80,80,"№ 3648
 від 27.02.18","м. Кропивницький вул. Космонавта Попова, 28/20 (на території ЗОШ № 35)",48.49367460000001,32.209136699999995,Управління освіти МРМК,береза,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Космонавта Попова, 28/20"
81,81,"№ 3648
 від 27.02.18","м. Кропивницький вул. Космонавта Попова, 28/20 (на території ЗОШ № 35)",48.493682,32.2091613,Управління освіти МРМК,абрикос,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Космонавта Попова, 28/20"
82,82,"№ 3648
 від 27.02.18","м. Кропивницький вул. Космонавта Попова, 28/20 (на території ЗОШ № 35)",48.4936658,32.2091237,Управління освіти МРМК,горобина,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Космонавта Попова, 28/20"
83,83,"№ 3648
 від 27.02.18","м. Кропивницький вул. Космонавта Попова, 28/20 (на території ЗОШ № 35)",48.4936443,32.209187,Управління освіти МРМК,клен,3,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Космонавта Попова, 28/20"
84,84,"№ 3649
 від 07.03.18","м. Кропивницький вул. Михайлівська, 36-а (між під’їздами № 3 та № 4)",48.50939,32.272496000000004,КП «ЖЕО № 2» Міської ради міста Кропивницького,акація,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Михайлівська, 36-а"
85,85,"№ 3649
 від 07.03.18","м. Кропивницький вул. Тараса Карпи, 128",48.50397589999752,32.2776297,КП «ЖЕО № 2» Міської ради міста Кропивницького,акація,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Тараса Карпи, 128"
86,86,"№ 3649
 від 07.03.18","м. Кропивницький вул. Тараса Карпи, 128",48.50397589999569,32.277695,КП «ЖЕО № 2» Міської ради міста Кропивницького,тополя,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Тараса Карпи, 128"
87,87,"№ 3649
 від 07.03.18","м. Кропивницький вул. Гагаріна, 18 (уздовж дороги біля будинку)",48.507933000009785,32.262801,КП «ЖЕО № 2» Міської ради міста Кропивницького,клен,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Гагаріна, 18"
88,88,"№ 3650
 від 07.03.18","м. Кропивницький вул. Євгена Тельнова, 5 (позаду під. № 1)",48.503332,32.232260499999995,КП «ЖЕО № 3» Міської ради міста Кропивницького,вишня,1,№ 818/03-01-06 від 26.03.18,26.03.18,True,№ 818/03-01-06,26.03.18,"м. Кропивницький вул. Євгена Тельнова, 5"
89,89,"№ 3651
 від 07.03.18","м. Кропивницький вул. Євгена Тельнова, 8, корп. 6",48.5026432,32.2299702,КП «ЖЕО № 3» Міської ради міста Кропивницького,в'яз,1,NotYet,NotYet,False,NotYet,NotYet,"м. Кропивницький вул. Євгена Тельнова, 8, корп. 6"
